Crime ID,Crime Type,Report Date,Report Month,Report Year,Occurred Date,Address,Street Number,Street Direction,Street Name,Street Type,Latitude,Longitude,City,Zip,Location 1,RowID
20162420317,Larceny,8/29/2016,Aug,2016,8/26/2016,2400 Block of E ADOBE ST,2400,E,ADOBE,ST,33.430136,-111.778957,MESA,85213,"(33.430136, -111.778957)",2.01624E+11
20162420329,Burglary,8/29/2016,Aug,2016,8/29/2016,2600 Block of E LEONORA ST,2600,E,LEONORA,ST,33.456093,-111.774471,MESA,85213,"(33.456093, -111.774471)",2.01624E+11
20162420333,Larceny,8/29/2016,Aug,2016,,4400 Block of E UNIVERSITY DR,4400,E,UNIVERSITY,DR,33.422552,-111.735898,MESA,85205,"(33.422552, -111.735898)",2.01624E+11
20162420334,Burglary,8/29/2016,Aug,2016,8/29/2016,700 Block of S SOLOMON,700,S,SOLOMON,,33.401832,-111.809952,MESA,85204,"(33.401832, -111.809952)",2.01624E+11
20162420353,Aggravated Assault,8/29/2016,Aug,2016,8/29/2016,500 Block of N HORNE,500,N,HORNE,,33.42422,-111.814226,MESA,85203,"(33.42422, -111.814226)",2.01624E+11
20162420388,Motor Vehicle Theft,8/29/2016,Aug,2016,8/29/2016,1400 Block of S DOBSON RD,1400,S,DOBSON,RD,33.389154,-111.87438,MESA,85202,"(33.389154, -111.87438)",2.01624E+11
20162420390,Larceny,8/29/2016,Aug,2016,8/28/2016,1400 Block of W BASS PRO DR,1400,W,BASS PRO,DR,33.435828,-111.861102,MESA,85201,"(33.435828, -111.861102)",2.01624E+11
20162420416,Larceny,8/29/2016,Aug,2016,8/29/2016,4000 Block of E OASIS CIR,4000,E,OASIS,CIR,33.467478,-111.670324,MESA,85215,"(33.467478, -111.670324)",2.01624E+11
20162420425,Larceny,8/29/2016,Aug,2016,8/29/2016,500 Block of E AUTO CENTER DR,500,E,AUTO CENTER,DR,33.383669,-111.820035,MESA,85204,"(33.383669, -111.820035)",2.01624E+11
20162420430,Burglary,8/29/2016,Aug,2016,8/27/2016,1200 Block of W GARY ST,1200,W,GARY,ST,33.438042,-111.855916,MESA,85201,"(33.438042, -111.855916)",2.01624E+11
20162420431,Larceny,8/29/2016,Aug,2016,8/28/2016,2400 Block of E MAIN ST,2400,E,MAIN,ST,33.41517,-111.779548,MESA,85213,"(33.41517, -111.779548)",2.01624E+11
20162420442,Aggravated Assault,8/29/2016,Aug,2016,8/27/2016,9900 Block of E EL MORO AVE,9900,E,EL MORO,AVE,33.397177,-111.617438,MESA,85208,"(33.397177, -111.617438)",2.01624E+11
20162420444,Larceny,8/29/2016,Aug,2016,8/29/2016,2000 Block of S STAPLEY DR,2000,S,STAPLEY,DR,33.380367,-111.803553,MESA,85204,"(33.380367, -111.803553)",2.01624E+11
20162420452,Larceny,8/29/2016,Aug,2016,8/29/2016,200 Block of W BASELINE RD,200,W,BASELINE,RD,33.378569,-111.836957,MESA,85210,"(33.378569, -111.836957)",2.01624E+11
20162420455,Motor Vehicle Theft,8/29/2016,Aug,2016,8/26/2016,3000 Block of E MAIN ST,3000,E,MAIN,ST,33.415213,-111.766607,MESA,85213,"(33.415213, -111.766607)",2.01624E+11
20162420460,Larceny,8/29/2016,Aug,2016,8/14/2016,4500 Block of E MCKELLIPS RD,4500,E,MCKELLIPS,RD,33.449728,-111.733758,MESA,85205,"(33.449728, -111.733758)",2.01624E+11
20162420466,Burglary,8/29/2016,Aug,2016,8/29/2016,1100 Block of W EMERALD AVE,1100,W,EMERALD,AVE,33.396588,-111.85495,MESA,85210,"(33.396588, -111.85495)",2.01624E+11
20162420481,Larceny,8/29/2016,Aug,2016,8/29/2016,300 Block of E 10TH DR,300,E,10TH,DR,33.39569,-111.825122,MESA,85210,"(33.39569, -111.825122)",2.01624E+11
20162420492,Larceny,8/29/2016,Aug,2016,8/29/2016,200 Block of W BASELINE RD,200,W,BASELINE,RD,33.378569,-111.836957,MESA,85210,"(33.378569, -111.836957)",2.01624E+11
