Jan. 1  ,01/01/17,  56° / 48° ,  0.22 in ,  93% / 70% ,  30.00 / 29.73 ,  S 14 MPH   ,  52° / 43°
Jan. 2  ,01/02/17,  56° / 44° ,  0.00 in ,  93% / 49% ,  30.11 / 29.99 ,  SE 10 MPH  ,  46° / 36°
Jan. 3  ,01/03/17,  60° / 41° ,  0.00 in ,  87% / 48% ,  30.17 / 30.06 ,  W 9 MPH    ,  44° / 35°
Jan. 4  ,01/04/17,  67° / 40° ,  0.00 in ,  94% / 35% ,  30.13 / 29.96 ,  SE 9 MPH   ,  50° / 35°
Jan. 5  ,01/05/17,  67° / 43° ,  0.00 in ,  84% / 38% ,  29.99 / 29.81 ,  W 14 MPH   ,  46° / 37°
Jan. 6  ,01/06/17,  66° / 43° ,  0.00 in ,  89% / 31% ,  30.15 / 29.80 ,  SE 13 MPH  ,  50° / 29°
Jan. 7  ,01/07/17,  67° / 38° ,  0.00 in ,  74% / 28% ,  30.29 / 30.14 ,  NE 15 MPH  ,  35° / 28°
Jan. 8  ,01/08/17,  74° / 43° ,  0.00 in ,  71% / 26% ,  30.33 / 30.16 ,  SE 7 MPH   ,  40° / 31°
Jan. 9  ,01/09/17,  68° / 47° ,  0.00 in ,  83% / 39% ,  30.18 / 30.01 ,  E 12 MPH   ,  47° / 36°
Jan. 10 ,01/10/17,  70° / 45° ,  0.00 in ,  87% / 29% ,  30.10 / 29.94 ,  S 10 MPH   ,  48° / 34°
Jan. 11 ,01/11/17,  66° / 45° ,  0.00 in ,  73% / 35% ,  30.01 / 29.90 ,  WSW 7 MPH  ,  40° / 34°
Jan. 12 ,01/12/17,  70° / 40° ,  0.00 in ,  84% / 30% ,  30.03 / 29.90 ,  W 9 MPH    ,  45° / 33°
Jan. 13 ,01/13/17,  63° / 52° ,  0.00 in ,  62% / 39% ,  30.02 / 29.93 ,  WSW 13 MPH ,  41° / 35°
Jan. 14 ,01/14/17,  67° / 54° ,  0.04 in ,  81% / 35% ,  29.99 / 29.84 ,  NE 33 MPH  ,  50° / 34°
Jan. 15 ,01/15/17,  57° / 52° ,  0.14 in ,  93% / 72% ,  30.02 / 29.87 ,  SE 9 MPH   ,  51° / 47°
Jan. 16 ,01/16/17,  61° / 43° ,  0.00 in ,  95% / 52% ,  30.05 / 29.96 ,  ESE 6 MPH  ,  54° / 39°
Jan. 17 ,01/17/17,  61° / 38° ,  0.00 in ,  97% / 48% ,  30.12 / 29.98 ,  NW 10 MPH  ,  50° / 35°
Jan. 18 ,01/18/17,  65° / 39° ,  0.00 in ,  94% / 41% ,  30.17 / 29.99 ,  SSE 7 MPH  ,  50° / 36°
Jan. 19 ,01/19/17,  56° / 43° ,  0.01 in ,  84% / 60% ,  30.03 / 29.83 ,  SE 12 MPH  ,  45° / 37°
Jan. 20 ,01/20/17,  52° / 45° ,  0.83 in ,  97% / 80% ,  29.84 / 29.50 ,  S 22 MPH   ,  51° / 40°
Jan. 21 ,01/21/17,  57° / 41° ,  0.00 in ,  97% / 39% ,  30.10 / 29.47 ,  WNW 23 MPH ,  48° / 32°
Jan. 22 ,01/22/17,  61° / 39° ,  0.00 in ,  84% / 44% ,  30.22 / 30.01 ,  SE 11 MPH  ,  42° / 34°
Jan. 23 ,01/23/17,  61° / 45° ,  0.06 in ,  84% / 47% ,  30.03 / 29.73 ,  W 21 MPH   ,  47° / 36°
Jan. 24 ,01/24/17,  55° / 36° ,  0.00 in ,  89% / 38% ,  30.05 / 29.78 ,  SW 14 MPH  ,  42° / 26°
Jan. 25 ,01/25/17,  56° / 30° ,  0.00 in ,  93% / 28% ,  30.24 / 30.04 ,  NW 11 MPH  ,  40° / 23°
Jan. 26 ,01/26/17,  57° / 29° ,  0.00 in ,  90% / 26% ,  30.30 / 30.17 ,  NNE 12 MPH ,  35° / 22°
Jan. 27 ,01/27/17,  58° / 40° ,  0.00 in ,  45% / 13% ,  30.39 / 30.17 ,  N 21 MPH   ,  25° / 5°
Jan. 28 ,01/28/17,  64° / 38° ,  0.00 in ,  40% / 15% ,  30.42 / 30.29 ,  NE 15 MPH  ,  24° / 8°
Jan. 29 ,01/29/17,  73° / 39° ,  0.00 in ,  49% / 15% ,  30.37 / 30.19 ,  NE 22 MPH  ,  25° / 15°
Jan. 30 ,01/30/17,  77° / 46° ,  0.00 in ,  49% / 13% ,  30.22 / 30.08 ,  NE 19 MPH  ,  30° / 18°
Jan. 31 ,01/31/17,  73° / 38° ,  0.00 in ,  68% / 16% ,  30.18 / 30.04 ,  W 9 MPH    ,  34° / 23°
Feb. 1  ,02/01/17,  75° / 37° ,  0.00 in ,  74% / 16% ,  30.14 / 30.03 ,  WSW 10 MPH ,  35° / 24°
Feb. 2  ,02/02/17,  72° / 41° ,  0.00 in ,  64% / 23% ,  30.13 / 30.03 ,  S 10 MPH   ,  34° / 28°
Feb. 3  ,02/03/17,  71° / 40° ,  0.00 in ,  75% / 29% ,  30.08 / 29.97 ,  NW 9 MPH   ,  38° / 31°
Feb. 4  ,02/04/17,  75° / 38° ,  0.00 in ,  80% / 18% ,  30.10 / 29.97 ,  WSW 10 MPH ,  42° / 26°
Feb. 5  ,02/05/17,  76° / 40° ,  0.00 in ,  70% / 18% ,  30.05 / 29.89 ,  S 10 MPH   ,  36° / 27°
Feb. 6  ,02/06/17,  65° / 50° ,  0.00 in ,  51% / 32% ,  30.05 / 29.92 ,  S 10 MPH   ,  39° / 29°
Feb. 7  ,02/07/17,  72° / 49° ,  0.00 in ,  66% / 35% ,  30.11 / 30.01 ,  S 11 MPH   ,  45° / 35°
Feb. 8  ,02/08/17,  76° / 45° ,  0.00 in ,  86% / 35% ,  30.16 / 30.03 ,  W 10 MPH   ,  49° / 38°
Feb. 9  ,02/09/17,  82° / 48° ,  0.00 in ,  87% / 29% ,  30.10 / 29.93 ,  W 10 MPH   ,  52° / 42°
Feb. 10 ,02/10/17,  85° / 49° ,  0.00 in ,  83% / 24% ,  30.06 / 29.92 ,  S 11 MPH   ,  52° / 41°
